movie_id	imdb_id	movie_name	imdb_date	production_companies	franchise	% screentime, female (all)	% screentime, female (human)	% screentime, female (animal/other)
who.framed.roge_tt0096438	tt0096438	Who Framed Roger Rabbit	1988	Touchstone Pictures; Amblin Entertainment; Silver Screen Partners III	Roger Rabbit	25.22	69.67	6.58
little.mermaid_tt0097757	tt0097757	The Little Mermaid	1989	Walt Disney Pictures; Silver Screen Partners IV; Walt Disney Animation Studios	Little Mermaid	43.85	62.51	7.04
beauty.and.the._tt0101414	tt0101414	Beauty and the Beast	1991	Walt Disney Pictures; Silver Screen Partners IV; Walt Disney Animation Studios	Beauty and the Beast	35.06	47.77	17.22
aladdin_tt0103639	tt0103639	Aladdin	1992	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation	Aladdin	17.37	24.28	0.00
nightmare.befor_tt0107688	tt0107688	The Nightmare Before Christmas	1993	Walt Disney Pictures; Touchstone Pictures; Tim Burton Productions	Nightmare Before Christmas	27.76	60.74	7.15
lion.king_tt0110357	tt0110357	The Lion King	1994	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation	Lion King	16.97		16.97
a.goofy.movie_tt0113198	tt0113198	A Goofy Movie	1995	Walt Disney Pictures; Disney Television Animation; Disneytoon Studios	Disney	11.95		11.95
pocahontas_tt0114148	tt0114148	Pocahontas	1995	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation	Pocahontas	32.60	36.04	0.00
toy.story_tt0114709	tt0114709	Toy Story	1995	Walt Disney Pictures; Pixar Animation Studios	Toy Story	6.76	9.30	0.00
beavis.and.butt_tt0115641	tt0115641	Beavis and Butt-Head Do America	1996	Paramount Pictures; MTV Films; MTV Productions	Beavis and Butt-Head	10.61	10.61	
hunchback.of.no_tt0116583	tt0116583	The Hunchback of Notre Dame	1996	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation	Hunchback of Notre Dame	21.34	19.17	31.78
space.jam_tt0117705	tt0117705	Space Jam	1996	Warner Bros.; Courtside Seats Productions; Northern Lights Entertainment	Looney Tunes	7.54	34.77	5.72
anastasia_tt0118617	tt0118617	Anastasia	1997	Fox Family Films; Fox Animation Studios; The Big Gun Project	Anastasia	47.48	48.71	0.00
a.bugs.life_tt0120623	tt0120623	A Bug's Life	1998	Walt Disney Pictures; Pixar Animation Studios	Bug's Life	50.24		50.24
antz_tt0120587	tt0120587	Antz	1998	DreamWorks Animation; DreamWorks Pictures; PDI DreamWorks		29.31		29.31
mulan_tt0120762	tt0120762	Mulan	1998	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation Florida	Mulan	43.76	52.69	0.00
