movie_id	imdb_id	movie_name	imdb_date	production_companies	franchise
barnyard_tt0414853	tt0414853	Barnyard	2006	Paramount Pictures; Nickelodeon Movies; O Entertainment	Barnyard
cars_tt0317219	tt0317219	Cars	2006	Walt Disney Pictures; Pixar Animation Studios	Cars
flushed.away_tt0424095	tt0424095	Flushed Away	2006	DreamWorks Animation; Aardman Animations	Flushed Away
happy.feet_tt0366548	tt0366548	Happy Feet	2006	Warner Bros.; Village Roadshow Pictures; Kennedy Miller Productions	Happy Feet
ice.age.the.mel_tt0438097	tt0438097	Ice Age: The Meltdown	2006	20th Century Fox Animation; Blue Sky Studios	Ice Age
monster.house_tt0385880	tt0385880	Monster House	2006	Columbia Pictures; Relativity Media; ImageMovers	Monster House
open.season_tt0400717	tt0400717	Open Season	2006	Columbia Pictures; Sony Pictures Animation	Open Season
over.the.hedge_tt0327084	tt0327084	Over the Hedge	2006	DreamWorks Animation	Over the Hedge
alvin.and.the.c_tt0952640	tt0952640	Alvin and the Chipmunks	2007	Fox 2000 Pictures; Regency Enterprises; Bagdasarian Productions	Alvin And The Chipmunks
bee.movie_tt0389790	tt0389790	Bee Movie	2007	DreamWorks Animation; Columbus 81 Productions	Bee Movie
beowulf_tt0442933	tt0442933	Beowulf	2007	Shangri-La Entertainment; ImageMovers	Beowulf
enchanted_tt0461770	tt0461770	Enchanted	2007	Walt Disney Pictures; Josephson Entertainment; Andalasia Productions	Enchanted
meet.the.robins_tt0396555	tt0396555	Meet the Robinsons	2007	Walt Disney Pictures; Walt Disney Animation Studios	Meet the Robinsons
ratatouille_tt0382932	tt0382932	Ratatouille	2007	Walt Disney Pictures; Pixar Animation Studios	Ratatouille
shrek.the.third_tt0413267	tt0413267	Shrek the Third	2007	DreamWorks Animation; Pacific Data Images (PDI)	Shrek
simpsons.movie_tt0462538	tt0462538	The Simpsons Movie	2007	20th Century Fox; Gracie Films; The Curiosity Company	Simpsons
surfs.up_tt0423294	tt0423294	Surf's Up	2007	Columbia Pictures; Sony Pictures Animation	Surf's Up
tmnt_tt0453556	tt0453556	TMNT	2007	Imagi Animation Studios; The Weinstein Company; Warner Bros.	Teenage Mutant Ninja Turtles
bolt_tt0397892	tt0397892	Bolt	2008	Walt Disney Pictures; Walt Disney Animation Studios	Bolt
horton.hears.a._tt0451079	tt0451079	Horton Hears a Who!	2008	20th Century Fox Animation; Blue Sky Studios	Dr. Seuss
kung.fu.panda_tt0441773	tt0441773	Kung Fu Panda	2008	DreamWorks Animation; Dragon Warrior Media	Kung Fu Panda
madagascar.esca_tt0479952	tt0479952	Madagascar: Escape 2 Africa	2008	DreamWorks Animation; Pacific Data Images (PDI)	Madagascar
walle_tt0910970	tt0910970	WALL·E	2008	Walt Disney Pictures; Pixar Animation Studios; FortyFour Studios	WALL-E
a.christmas.car_tt1067106	tt1067106	A Christmas Carol	2009	Walt Disney Pictures; ImageMovers Digital; ImageMovers	Christmas Carol
alvin.and.the.c_tt1231580	tt1231580	Alvin and the Chipmunks: The Squeakquel	2009	Fox 2000 Pictures; Regency Enterprises; Bagdasarian Productions	Alvin And The Chipmunks
cloudy.with.a.c_tt0844471	tt0844471	Cloudy with a Chance of Meatballs	2009	Columbia Pictures; Sony Pictures Animation	Cloudy with a Chance of Meatballs
coraline_tt0327597	tt0327597	Coraline	2009	Focus Features; Laika Entertainment; Pandemonium	Coraline
gforce_tt0436339	tt0436339	G-Force	2009	Walt Disney Pictures; Jerry Bruckheimer Films; Whamaphram Productions	G-Force
